step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1075.0,40,0,14,720,760,0,92.0,2.3,4.796405707770414,14,260.0,0.2474293187765257,14,260.0
1080.0,37,0,15,723,760,0,91.0,2.4594594594594597,3.2359553431078503,15,282.0,0.1398211682046318,15,282.0
1085.0,35,0,13,725,760,0,55.0,1.5714285714285714,4.394123441693884,13,241.0,0.12901895208208444,13,241.0
1090.0,37,0,8,728,765,0,40.0,1.0810810810810811,6.705088870923148,8,172.0,0.28500040229108675,8,172.0
1095.0,37,0,1,732,769,0,1.0,0.02702702702702703,6.403982465018064,1,171.0,0.335291265451898,1,171.0
1100.0,36,0,7,736,772,0,24.0,0.6666666666666666,5.789324055094079,7,190.0,0.2677207536202239,7,190.0
1105.0,36,0,13,740,776,0,75.0,2.0833333333333335,4.2759489438881255,13,241.0,0.20058486445910362,13,241.0
1110.0,35,0,13,742,777,0,73.0,2.085714285714286,2.6429819217453296,13,257.0,0.08411882046439136,13,257.0
1115.0,33,0,11,746,779,0,45.0,1.3636363636363635,3.6741843574140143,11,222.0,0.14053613257555864,11,222.0
1120.0,35,0,10,746,781,0,48.0,1.3714285714285714,6.200275899971462,10,162.0,0.23763900862552254,10,162.0
1125.0,36,0,2,749,785,0,3.0,0.08333333333333333,6.087196272694566,2,168.0,0.3047852093346892,2,168.0
1130.0,34,0,7,754,788,0,27.0,0.7941176470588235,5.212492662362681,7,192.0,0.25907408422371253,7,192.0
1135.0,31,0,14,758,789,0,82.0,2.6451612903225805,2.928821014158592,14,247.0,0.13433460389469085,14,247.0
1140.0,30,0,13,760,790,0,80.0,2.6666666666666665,1.9978281774425666,13,265.0,0.09638352341057405,13,265.0
1145.0,33,0,12,761,794,0,54.0,1.6363636363636365,4.273570993505706,12,228.0,0.20291195086588937,12,228.0
1150.0,39,0,6,761,800,0,32.0,0.8205128205128205,6.544087644970606,6,171.0,0.28780072623920205,6,171.0
